id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
44,ab phylline capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives,"AB Phylline N contains a combination of two medicines acebrophylline and acetylcysteine as its active ingredient. They belong to a class of bronchodilators and mucolytics, respectively. AB Phylline N works by relaxing the muscles of the airways and loosening the cough, thus making the expulsion of cough easy.4 May 2022"
45,althrocin 500 tablet,Erythromycin Estol 500mg Tablet,Eryster 500mg Tablet,Eltocin 500mg Tablet,Erytho 500mg Tablet,Elucin 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Althrocin-500 Tablet 10's contains Erythromycin, which belongs to a class of drugs known as macrolide antibiotics. Macrolide antibiotics kill the bacterium that is causing the infection."
46,augmentin dds suspension,Bactoclav DS 457 Dry Syrup,Extclav-DS Dry Syrup,Clavio-DS Oral Suspension,Medgud-CV Forte Dry Syrup,Clomaxin-DS Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,"Augmentin DDS suspension contains amoxicillin and clavulanic acid. Amoxicillin works by killing the bacteria responsible for infections. However, the bacteria make the enzyme (beta-lactamases) which c. Clavulanic acid inactivates this enzyme and hence helps Amoxicillin to perform its function....30 Nov 2021"
47,azicip 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,Azicip 500 contains azithromycin as its active ingredient. This medicine should be taken as directed by the doctor and in doses and duration as prescribed. Take Azicip 500 with food to avoid stomach upset.10 Jul 2023
48,aldigesic-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Aldigesic-SP Tablet is a combination of three medicines: Aceclofenac, Paracetamol and Serratiopeptidase. Aceclofenac is a non-steroidal anti-inflammatory drug (NSAID), and Paracetamol is an antipyretic (fever reducer).29 Nov 2023"
49,amoxycillin 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin,"The amoxicillin molecular formula is C16H19N3O5S • 3H2O, and the molecular weight is 419.45. Amoxicillin capsules, tablets and powder for oral suspension are intended for oral administration. Amoxicillin Capsules provide amoxicillin trihydrate equivalent to 250 mg or 500 mg amoxicillin."
50,asthakind expectorant sugar free,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Ascoril SF Expectorant,,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Asthakind is a combination medicine containing - bromhexine, guaifenesin and terbutaline. Bromhexine is a mucolytic agent, guaifenesin is an expectorant and terbutaline is a bronchodilator. Asthakind Expectorant sugar-free works by thinning, liquefying and loosening the mucus and makes expulsion easy.19 May 2023"
51,acemiz plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,Product Summary
52,aceclo plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Aceclo Plus Tablet is a combination of two medicines: Aceclofenac and Paracetamol. These medicines work by blocking the action of chemical messengers responsible for pain, fever and inflammation (redness and swelling).29 Nov 2023"
53,anobliss cream,Nifedip LA  Cream,Anozest Cream,Anomed L Cream,Anorelief Cream,Escot Cream,Anal irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,No,PAIN ANALGESICS,,Anobliss Cream is a combination of two medicines: Lidocaine and Nifedipine. Lidocaine is a local anesthetic. It works by blocking pain signals from the nerves to brain which decreases pain sensation. Nifedipine is a calcium channel blocker (CCB).29 Nov 2023
54,alex cough lozenges lemon ginger,CHERICOF 5MG LOZENGES,Tossex D 5mg Lozenges,,,,Sleepiness,Dizziness,Confusion,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,Methyl Analog of Dextrorphan,No,RESPIRATORY,Cough suppressants,"Alex Cough Lozenges Lemon Ginger: View Uses, Side Effects ... - 1mg"
55,asthalin respules,Derihaler 2.5mg Respules,Asthavent 2.5mg Respules,Axamol 2.5mg Respules 2.5ml,Pneumasal 2.5mg Respules (2.5ml Each),,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,ASTHALIN RESPULE contains Salbutamol which belongs to the group of medicines called Bronchodilators. It is used to treat severe asthma attacks.30 Nov 2022
56,avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Pyridines Derivatives,No,RESPIRATORY,H1 Antihistaminics (First Generation),"Avil Injection 10 x 2 ml belongs to the class of medications called 'anti-histamine' primarily used to treat allergic reactions. Avil Injection 10 x 2 ml contains Pheniramine maleate, which works by blocking the action of a chemical messenger called 'histamine' responsible for causing allergic reactions."
57,azee 200mg dry syrup,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azmo 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"AZEE 200MG DRY SYRUP contains Azithromycin which belongs to the group of medicines called Macrolides. It is used in children to treat infections caused by bacteria and other micro-organisms which include chest, throat, and nasal infections such as bronchitis, pneumonia, tonsillitis, sore throat and sinusitis.26 Feb 2024"
58,atorva tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),Atorva 10mg Tablet contains Atorvastatin 10mg that reduces the narrowing of blood vessels due to cholesterol by reducing bad cholesterol levels and increasing good cholesterol levels in the body thus preventing any risks of heart attack and stroke. Chemical Class: Pyrrole & heptanoic acid derivative. Addictive Drug: No.
59,asthakind-ls expectorant cola sugar free,Tarific Expectorant,Nakuf LS+ SF Expectorant Cherry Sugar Free,Piritexyl-LS SF Expectorant,Tuspel LS 1 Expectorant,Macbery LS Expectorant Sugar Free,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,Asthakind-LS Expectorant Cola Sugar Free - 1mg
60,ascoril ls drops,Usal LS Drops,Levokof Oral Drops,Coffact-S Drop,Nosicold LS Oral Drops,Zerotuss XP Drop,Vomiting,Diarrhea,Excessive salivation,Fatigue,Headache,Dizziness,Rash,Numbness of extremity,Nausea,Increased heart rate,Stomach discomfort,Palpitations,Tremors,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acute Sore throat,Treatment of Cough with mucus,,,,,No,RESPIRATORY,,"Ascoril LS Drops is a combination of three medicines: Ambroxol, Levosalbutamol, and Guaifenesin, which relieves cough with mucus. Ambroxol is a mucolytic that thins and loosens mucus (phlegm), making it easier to cough out. Levosalbutamol is a bronchodilator.29 Nov 2023"
61,azmarda 50mg tablet,Sacutan 50 Tablet,Sacurise 50 Tablet,Arney 50 Tablet,Sacuval 50 Tablet,Sacu-V 50 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,No,CARDIAC,,Azmarda 50mg Tablet is a combination of two medicines: Sacubitril and Valsartan which belong to a class of angiotensin receptor neprilysin inhibitor (ARNI). This combination treats heart failure by relaxing the blood vessels and making it easier for your heart to pump blood throughout your body.15 Jan 2024
62,amixide-h tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,,"Amixide-H Tablet 10's is a combination of two drugs: Amitriptyline (tricyclic anti-depressant) and Chlordiazepoxide (benzodiazepine anxiolytic). Amitriptyline works by affecting certain chemical messengers in the brain that communicate between brain cells, thereby regulating mood and treating depression."
63,ab-flo-n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,,"AB-Flo-N Tablet is a combination of two medicines : Acebrophylline and Acetylcysteine. Acebrophylline is a mucolytic and bronchodilator. It works by relaxing the muscles of the airways and also thins and loosens mucus, making it easier to breathe. Acetylcysteine is a mucolytic medication.16 Feb 2024"
64,af kit tablet,Afo Kit 1000 mg/750 mg/150 mg Tablet,Femiriv 3 Kit Tablet,Vaginobact 1000 mg/750 mg/150 mg Tablet,,,Taste change,Vomiting,Headache,Dizziness,Stomach pain,Nausea,Indigestion,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Syndromic treatment of vaginal discharge,,,,,,No,GYNAECOLOGICAL,,"The salts Azithromycin (1000 mg),Ornidazole(750 mg),Fluconazole(150 mg) are involved in the preparation of AF Kit."
65,amlokind 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),Amlokind 5 Tablet contains Amlodipine 5mg used to treat high blood pressure or hypertension. It also helps in the prevention of angina (chest pain due to heart problems) Chemical Class: Dihydropyridine Carboxylic acids derivatives.
66,amlong tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Amlong A tablet contains a combination of amlodipine and atenolol as active substances. It works by lowering the blood pressure, heart rate, and contractility of heart muscles.19 Sept 2022"
67,akt 4 kit,RF 4 Kit,Anticox 4 Kit,4D Kit,Afb 4 Kit,CAVICIN E KIT,Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Tuberculosis (TB),,,,,,No,ANTI INFECTIVES,,Product Summary
68,ascoril d junior cough syrup,Alkof Junior Syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Ascoril D Junior Cough Syrup is a combination of three medicines: Phenylephrine, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide. Phenylephrine is a decongestant which narrows the small blood vessels providing relief from congestion or stuffiness in the nose.23 Jan 2024"
69,amitone 10mg tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants,"Amitone 10mg Tablet contains Amitriptyline, a tricyclic antidepressant. It has anticholinergic and sedative properties. It prevents the reuptake, and hence the inactivation of neurotransmitters called noradrenaline and serotonin, that are present at the nerve terminals in our brain.29 Nov 2023"
70,aulin 100mg tablet,Nimprex Tablet,Pyrimide 100mg Tablet,Nicip Tablet,Nimtech 100mg Tablet,Nalgis 100mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,Diphenylethers Derivative,No,PAIN ANALGESICS,NSAID's-Non-Selective COX 1&2 Inhibitors (Others),"Aulin 100mg Tablet: View Uses, Side Effects, Price and Substitutes"
71,amikacin sulphate 500mg injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Ivimicin 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Aminoglycosides,No,OPHTHAL,Aminoglycosides,"Amikacin Sulfate Injection is an aminoglycoside antibiotic indicated in the short-term treatment of serious infections due to susceptible strains of Gram-negative bacteria, including Pseudomonas species, Escherichia coli, species of indole-positive and indole-negative Proteus, Providencia species, Klebsiella- ..."
72,ambrodil-lx syrup,Solvin LS Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Asthalin AX Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Ambrodil-LX Syrup 100 ml is a combination of three drugs, namely Levosalbutamol (bronchodilator), Ambroxol (mucolytic agent), and Guaifenesin (expectorant). Levosalbutamol belongs to the class of bronchodilators that works by relaxing muscles and widening the airways of the lungs."
73,aquasol a capsule,,,,,,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin A deficiency,,,,,Retinoid Derivative,No,VITAMINS MINERALS NUTRIENTS,Vitamins,"Clinical Pharmacology for Aquasol A

 Beta-carotene, retinol, and retinal have effective and reliable vitamin A activity. Retinal and retinol are in chemical equilibrium in the body and have equivalent antixerophthalmic activity."
74,ab phylline sr 200 tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives,"AB Phylline SR 200 Tablet comprises of theophylline-7 acetate and ambroxol which makes it effective in making the mucus more fluid and clearing the airways easily, thereby making breathing easier.29 Nov 2023"
75,azoran tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs,Azoran tablet is an immunosuppressant medicine. It reduces the strength of the immune system. It is used in the treatment of organ transplants and a few autoimmune diseases. This medicine contains azathioprine as its active substance.4 May 2023
76,aztor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),"Aztor 10 MG Description

 It contains atorvastatin as its active ingredient. This tablet is used as an adjuvant to diet in patients with high and abnormal levels of cholesterol. Aztor 10 tablet decreases the synthesis of cholesterol in the body.8 Aug 2023"
77,atorva 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins),ATORVA 40MG TABLET contains Atorvastatin which belongs to the group of medicines called Lipid-lowering drugs. It is used to reduce elevated high blood cholesterol levels (hyperlipidaemia) in patients when diet and lifestyle changes does not result in an adequate response.30 Sept 2022
