id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
66,amlong tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
67,akt 4 kit,RF 4 Kit,Anticox 4 Kit,4D Kit,Afb 4 Kit,CAVICIN E KIT,Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Tuberculosis (TB),,,,,,No,ANTI INFECTIVES,
68,ascoril d junior cough syrup,Alkof Junior Syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
69,amitone 10mg tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants
70,aulin 100mg tablet,Nimprex Tablet,Pyrimide 100mg Tablet,Nicip Tablet,Nimtech 100mg Tablet,Nalgis 100mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,Diphenylethers Derivative,No,PAIN ANALGESICS,NSAID's-Non-Selective COX 1&2 Inhibitors (Others)
71,amikacin sulphate 500mg injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Ivimicin 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Aminoglycosides,No,OPHTHAL,Aminoglycosides
72,ambrodil-lx syrup,Solvin LS Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Asthalin AX Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,
73,aquasol a capsule,,,,,,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin A deficiency,,,,,Retinoid Derivative,No,VITAMINS MINERALS NUTRIENTS,Vitamins
74,ab phylline sr 200 tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
75,azoran tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs
76,aztor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
77,atorva 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
78,azax 500 tablet,Zithrocare 500mg Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
79,alex syrup sugar free,Alkof Junior Syrup,Respicure-D Syrup,Torex Junior Syrup,Chericof Syrup,Respicure-D Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
80,anxit 0.5 tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
81,anxit 0.25mg tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
82,acitrom 2 tablet,Nicoz 2mg Tablet,Nistrom 2mg Tablet,Acimalone 2 Tablet,Acethromb 2mg Tablet,Cenorol 2mg Tablet,Hemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,4-hydroxycoumarin Derivative,No,CARDIAC,Vitamin K antagonists
83,angispan - tr 2.5mg capsule,Angiplat 2.5 Capsule TR,Angistat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,,,Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Angina (heart-related chest pain),,,,,Nitrates {Short acting},No,CARDIAC,NO Donors
84,azeflo nasal spray,Sarnase 50 mcg/140 mcg Nasal Spray,Sernase Nasal Spray,Armist Nasal Spray,Lergiset-AF Nasal Spray,Flotaze Nasal Spray,Taste change,Nosebleeds,Headache,Cough,Upper respiratory tract infection,Dryness in mouth,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,No,RESPIRATORY,
85,acemiz -mr tablet,Acimol MR 100mg/325mg/250mg Tablet,Kapinac CZ Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Clanac MR Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
86,akurit 4 tablet,MONITOR 4 TABLET,Trac 4 Tablet,Coxcure 4 Tablet,Mycurit 4 mg Tablet,Vicox 4 Tablet,Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Tuberculosis (TB),,,,,,No,ANTI INFECTIVES,
87,aerocort inhaler,,,,,,Hoarseness of voice,Headache,Dizziness,Pharyngitis,Vomiting,Bronchitis (inflammation of the airways),Dryness in mouth,Cough,Application site irritation,Nausea,Gastrointestinal motility disorder,Thrush,Throat irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Asthma,,,,,,No,RESPIRATORY,
88,adaferin gel,Alene Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Admark Gel,Erythema (skin redness),Dry skin,Skin peeling,Skin burn,Itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,Retinoids,No,DERMA,Retinoids- Third generation
89,acivir 400 dt tablet,Acivex 400mg Tablet DT,Zoylex 400mg Tablet DT,Acloriv 400mg Tablet DT,Docvir 400mg Tablet DT,Zoster 400mg Tablet DT,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection,Nucleoside analog,No,ANTI INFECTIVES,Antiviral (Non-HIV) drugs
90,aptimust syrup,Actizer Syrup,Pepcip Syrup,Cycoline Syrup,Yopon  Syrup,Oditril Syrup,Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Appetite stimulant,,,,,,No,VITAMINS MINERALS NUTRIENTS,
91,augmentin 1000 duo tablet,Moxikind-CV 1gm Tablet,Acuclav 1000mg Tablet,Mega-CV Duo 875mg/125mg Tablet,Bactoclav 875 mg/125 mg Tablet,Lmx Forte 875mg/125mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
92,ambrodil syrup,Ambril Syrup,Respolite Syrup,Ambrolene Syrup,Revibrox Plus 30mg/5ml Syrup,Cofnil AM 30mg Syrup,Vomiting,Nausea,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Respiratory tract disorders associated with viscid mucus,,,,,Phenylmethylamine Derivative,No,RESPIRATORY,Mucolytics
93,acogut tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acotrust  Tablet,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Functional dyspepsia,,,,,Salicylamide Derivative,No,GASTRO INTESTINAL,Anticholinesterase-Prokinetic agent 
94,atarax drops,,,,,,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation)
95,amlip 5 tablet,Amset 5mg Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
96,antid 300mcg/ml injection,,,,,,Fever,Headache,Injection site tenderness,Injection site pain,Feeling of discomfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Infections,,,,,Vaccines,No,VACCINES,Immunoglobulin
97,alerid syrup,Cetrilix 5mg Syrup,Cetmac 5mg/5ml Syrup,Ralcet 5mg/5ml Syrup,Mast 1 Syrup,Ezin Syrup,Nausea,Headache,Muscle pain,Edema (swelling),Sleepiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Phenylmethyl Piperazinyl Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
98,aldactone 50 tablet,Spilactone 50mg Tablet,Spirix 50 Tablet,Spirolact 50mg Tablet,Edeflow 50 Tablet,Aldotone 50mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
99,ampoxin 500 capsule,Baciclox Plus Capsule,Cilclox 250mg/250mg Capsule,Dynacil Plus 250mg/250mg Capsule,Mivon 250mg/250mg Capsule,AROCLOX 250MG/250MG CAPSULE,Allergic reaction,Rash,Stomach pain,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
100,azee 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
101,alerid tablet,Cetral O 10mg Tablet,Dio 1 10mg Tablet,Leecet Tablet,CTZ Tablet,Cetcip Tablet,Sleepiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Phenylmethyl Piperazinyl Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
102,augmentin 375 tablet,Moxiforce-CV 375 Tablet,Moxikind-CV 375 Tablet,Flemiclav 375 Tablet,Erox CV 250mg/125mg Tablet,Mega-CV 375 Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
103,acenac-p  tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
104,acivir cream,Setuvir Cream,Herpesafe Cream,Zoster Cream,Zovistar Cream,Aciherpin Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Herpes labialis,,,,,Nucleoside analog,No,DERMA,Antiviral (Non-HIV) drugs
105,ab-flo capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
106,ab phylline n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,
107,amifru 40 tablet,Frumide 40 mg/5 mg Tablet,Frumil Tablet,LASIRIDE 40MG/5MG TABLET,FRUMIDE 40MG/5MG TABLET,Exna K 40 mg/5 mg Tablet,Nausea,Vomiting,Diarrhea,Weakness,Headache,Dehydration,Muscle cramp,Decreased sodium level in blood,Decreased magnesium level in blood,Decreased calcium level in blood,Increased blood uric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Edema,,,,,,No,CARDIAC,
108,avamys nasal spray,,,,,,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,No,RESPIRATORY,Glucocorticoids
109,alkasol oral solution sugar free,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout
110,aciloc 300 tablet,Gertac 300mg Tablet,Rancer 300mg Tablet,Zantid 300mg Tablet,Zynol 300mg Tablet,Rdin 300mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Aralkylamines Derivative,No,GASTRO INTESTINAL,H2 Receptor Blocker
111,aziderm 20% cream,Azecne Cream,Azac 20% Cream,Exazel 20% Cream,Dermac 20% Cream,Azecare 20 Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Medium-Chain Fatty Acids,No,DERMA,Antimicrobials- Acne
112,ace proxyvon tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
113,avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Pyridines Derivatives,No,RESPIRATORY,H1 Antihistaminics (First Generation)
114,ano metrogyl cream,Sucross Ano Cream,Elfate-LM Rectal Cream,Anosum Cream,Pileclear S Cream,Surect Cream,Burning sensation,Tingling,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,No,CARDIAC,
115,admenta 5 tablet,DavaIndia Memantine 5mg Tablet,Almantin 5mg Tablet,Mentra 5mg Tablet,Mentadem 5mg Tablet,Memantal 5mg Tablet,Dizziness,Headache,Confusion,Sleepiness,Diarrhea,Abnormal liver function tests,Balance disorder (loss of balance),Breathlessness,Pulmonary hypertension (high blood pressure),Hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Alzheimer's disease,,,,,Amantadine Derivative,No,NEURO CNS,NMDA inhibitors- Alzheimer's disease
116,aceclo-mr tablet,Vetory MX Tablet,Dolostat MR 100 mg/325 mg/500 mg Tablet,Arflur-MR Tablet,Nacease MR 100mg/325mg/500mg Tablet,Clorace-MR Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
117,alerid-d tablet,Cezor Plus 5mg/10mg Tablet,Zyncet-D Tablet,,,,Dryness in mouth,Headache,Vomiting,Sleepiness,Fatigue,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,No,RESPIRATORY,
118,acemiz-s tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Buta Proxyvon SP Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
119,allercet-dc tablet,Rycez D 10mg/10mg Tablet,Lemoson 10 mg/10 mg Tablet,Rhinocet D Tablet,Lwin DC 10mg/10mg Tablet,Hicet-DC Tablet,Dryness in mouth,Headache,Vomiting,Sleepiness,Fatigue,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,No,RESPIRATORY,
120,aztolet  10 tablet,Lipiloss CV 10mg/75mg Tablet,Dualclop 10mg/75mg Tablet,Gamator C 10mg/75mg Tablet,Atetor C 10mg/75mg Tablet,Nasclo AT 10mg/75mg Tablet,Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Heart attack prevention and high cholesterol,,,,,,No,CARDIAC,
121,augmentin 1.2gm injection,Amoluck Injection,Aoxy-CV 1.2gm Injection,Blumox-CA 1.2gm Injection,Moxfit CV 1000mg/200mg Powder for Injection,Relin 1000mg/200mg Injection,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
122,ambrodil-plus rf syrup,,,,,,Nausea,Stomach discomfort,Sleepiness,Insomnia (difficulty in sleeping),Headache,Dizziness,Nervousness,Restlessness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Common cold,,,,,,No,RESPIRATORY,
123,amlopres-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,
124,ajaduo 25mg/5mg tablet,Glyxambi 25mg/5mg Tablet,Tiptengio 25mg/5mg Tablet,Xilingio 25mg/5mg Tablet,,,Hypoglycemia (low blood glucose level),Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,Nausea,Vomiting,Constipation,Genital fungal infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,
125,avanair 100 tablet,Avanext 100mg Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose),Nasopharyngitis (inflammation of the throat and nasal passages),Back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Erectile dysfunction,,,,,Pyrimidinecarboxamides,No,SEX STIMULANTS REJUVENATORS,
126,acton-or tablet sr,Xtpara Tablet SR,Parvon 1000 SR Tablet,Instaflex P Tablet SR,Para 1000-SR Tablet,PA 12 Tablet SR,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief, Fever,,,,,No,PAIN ANALGESICS,
127,aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level,Weakness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Benzothiadiazines (Thiazides),No,CARDIAC,Low-ceiling Diuretics (Inhibitors of Na+Cl symport)
128,alaspan am tablet,Loridin AM Tablet,Alastin AM Tablet,CLARIDIN AM TABLET,Lorpd AM 60mg/5mg Tablet,Lorich-AM Tablet,Upset stomach,Headache,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,
129,althrocin 250 tablet,Agrocin 250mg Tablet,Eryster 250mg Tablet,Erythrokem 250mg Tablet,Erythrotone 250mg Tablet,E Mycin 250mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
130,azikem 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
131,aldosmin 500mg tablet,Venostor 500 Tablet,Daflon 500 MG Tablet,Veinmax Tablet,,,Diarrhea,Dizziness,Hives,Itching,Nausea,Erythema (skin redness),Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Varicose veins,,,,,,No,CARDIAC,
132,amlovas 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
